company,location,industry
Owens Corning,"Toledo, OH","Building Materials, Glass"
Alleghany,"New York, NY",Insurance: Property and Casualty (Stock)
McGraw Hill Financial,"New York, NY",Financial Data Services
Big Lots,"Columbus, OH",Specialty Retailers: Other
Northern Tier Energy,"Tempe, AZ",Petroleum Refining
Hexion,"Columbus, OH",Chemicals
Markel,"Glen Allen, VA",Insurance: Property and Casualty (Stock)
Noble Energy,"Houston, TX","Mining, Crude-Oil Production"
Leidos Holdings,"Reston, VA",Information Technology Services
Rockwell Collins,"Cedar Rapids, IA",Aerospace and Defense
Airgas,"Radnor, PA",Wholesalers: Diversified
Sprague Resources,"Portsmouth, NH",Wholesalers: Diversified
YRC Worldwide,"Overland Park, KS","Trucking, Truck Leasing"
Hanover Insurance Group,"Worcester, MA",Insurance: Property and Casualty (Stock)
Fiserv,"Brookfield, WI",Financial Data Services
Lorillard,"Greensboro, NC",Tobacco
American Tire Distributors Holdings,"Huntersville, NC",Wholesalers: Diversified
ABM Industries,"New York, NY",Diversified Outsourcing Services
Sonoco Products,"Hartsville, SC","Packaging, Containers"
Harris,"Melbourne, FL",Network and Other Communications Equipment
Telephone & Data Systems,"Chicago, IL",Telecommunications
Wisconsin Energy,"Milwaukee, WI",Utilities: Gas and Electric
Linn Energy,"Houston, TX","Mining, Crude-Oil Production"
Raymond James Financial,"St. Petersburg, FL",Securities
Berry Plastics Group,"Evansville, IN","Packaging, Containers"
Regency Energy Partners,"Dallas, TX","Oil and Gas Equipment, Services"
SCANA,"Cayce, SC",Utilities: Gas and Electric
Cincinnati Financial,"Fairfield, OH",Insurance: Property and Casualty (Stock)
Atmos Energy,"Dallas, TX",Utilities: Gas and Electric
Pepco Holdings,"Washington, DC",Utilities: Gas and Electric
Flowserve,"Irving, TX",Industrial Machinery
Simon Property Group,"Indianapolis, IN",Real estate
Constellation Brands,"Victor, NY",Beverages
Quad/Graphics,"Sussex, WI","Publishing, Printing"
Burlington Stores,"Burlington, NJ",Specialty Retailers: Apparel
Neiman Marcus Group,"Dallas, TX",Specialty Retailers: Apparel
Bemis,"Neenah, WI","Packaging, Containers"
Coach,"New York, NY",Apparel
Continental Resources,"Oklahoma City, OK","Mining, Crude-Oil Production"
Ascena Retail Group,"Mahwah, NJ",Specialty Retailers: Apparel
Zoetis,"Florham Park, NJ",Pharmaceuticals
Orbital ATK,"Dulles, VA",Aerospace and Defense
Frontier Communications,"Stamford, CT",Telecommunications
Levi Strauss,"San Francisco, CA",Apparel
SPX,"Charlotte, NC",Industrial Machinery
CF Industries Holdings,"Deerfield, IL",Chemicals
Michaels Cos.,"Irving, TX",Specialty Retailers: Other
M&T Bank Corp.,"Buffalo, NY",Commercial Banks
Rush Enterprises,"New Braunfels, TX","Automotive Retailing, Services"
Aleris,"Cleveland, OH",Metals
Nexeo Solutions Holdings,"The Woodlands, TX",Wholesalers: Diversified
Keurig Green Mountain,"Waterbury, VT",Beverages
Superior Energy Services,"Houston, TX","Oil and Gas Equipment, Services"
Williams-Sonoma,"San Francisco, CA",Specialty Retailers: Other
Robert Half International,"Menlo Park, CA",Temporary Help
Nvidia,"Santa Clara, CA",Semiconductors and Other Electronic Components
First American Financial,"Santa Ana, CA",Insurance: Property and Casualty (Stock)
Zimmer Holdings,"Warsaw, IN",Medical Products and Equipment
MDU Resources Group,"Bismarck, ND",Energy
Juniper Networks,"Sunnyvale, CA",Network and Other Communications Equipment
Arthur J. Gallagher,"Itasca, IL",Diversified Financials
Colfax,"Annapolis Junction, MD",Industrial Machinery
Cliffs Natural Resources,"Cleveland, OH","Mining, Crude-Oil Production"
Yahoo,"Sunnyvale, CA",Internet Services and Retailing
MasTec,"Coral Gables, FL","Engineering, Construction"
Lam Research,"Fremont, CA",Semiconductors and Other Electronic Components
Axiall,"Atlanta, GA",Chemicals
Intercontinental Exchange,"Atlanta, GA",Securities
Cintas,"Cincinnati, OH",Diversified Outsourcing Services
Coty,"New York, NY",Household and Personal Products
CA,"Islandia, NY",Computer Software
Andersons,"Maumee, OH",Food Production
Valspar,"Minneapolis, MN",Chemicals
Northern Trust,"Chicago, IL",Commercial Banks
Intuit,"Mountain View, CA",Computer Software
Tutor Perini,"Sylmar, CA","Engineering, Construction"
Polaris Industries,"Medina, MN",Transportation Equipment
Hospira,"Lake Forest, IL",Pharmaceuticals
FM Global,"Johnston, RI",Insurance: Property and Casualty (Stock)
NVR,"Reston, VA",Homebuilders
Liberty Media,"Englewood, CO",Entertainment
Energizer Holdings,"St. Louis, MO",Household and Personal Products
Bloomin' Brands,"Tampa, FL",Food Services
Avaya,"Santa Clara, CA",Network and Other Communications Equipment
Westlake Chemical,"Houston, TX",Chemicals
Hyatt Hotels,"Chicago, IL","Hotels, Casinos, Resorts"
Mead Johnson Nutrition,"Glenview, IL",Food Consumer Products
Activision Blizzard,"Santa Monica, CA",Computer Software
Protective Life,"Birmingham, AL","Insurance: Life, Health (stock)"
Envision Healthcare Holdings,"Greenwood Village, CO",Health Care: Pharmacy and Other Services
Fortune Brands Home & Security,"Deerfield, IL","Home Equipment, Furnishings"
RPM International,"Medina, OH",Chemicals
VWR,"Radnor, PA",Wholesalers: Diversified
LPL Financial Holdings,"Boston, MA",Securities
KeyCorp,"Cleveland, OH",Commercial Banks
Swift Transportation,"Phoenix, AZ","Trucking, Truck Leasing"
Alpha Natural Resources,"Bristol, VA","Mining, Crude-Oil Production"
Hasbro,"Pawtucket, RI","Toys, Sporting Goods"
Resolute Forest Products,"Catawba, SC",Forest and Paper Products
Tiffany,"New York, NY",Specialty Retailers: Other
McCormick,"Sparks, MD",Food Consumer Products
Graphic Packaging Holding,"Atlanta, GA","Packaging, Containers"
Greif,"Delaware, OH","Packaging, Containers"
Allegheny Technologies,"Pittsburgh, PA",Metals
Securian Financial Group,"St. Paul, MN","Insurance: Life, Health (stock)"
B/E Aerospace,"Wellington, FL",Aerospace and Defense
Exelis,"McLean, VA",Aerospace and Defense
Adobe Systems,"San Jose, CA",Computer Software
Molson Coors Brewing,"Denver, CO",Beverages
Roundy's,"Milwaukee, WI",Food and Drug Stores
CNO Financial Group,"Carmel, IN","Insurance: Life, Health (stock)"
Adams Resources & Energy,"Houston, TX",Energy
Belk,"Charlotte, NC",General Merchandisers
Chipotle Mexican Grill,"Denver, CO",Food Services
American Tower,"Boston, MA",Telecommunications
FMC,"Philadelphia, PA",Chemicals
Hillshire Brands,"Chicago, IL",Food Consumer Products
AmTrust Financial Services,"New York, NY",Insurance: Property and Casualty (Stock)
Brunswick,"Lake Forest, IL",Transportation Equipment
Patterson,"St. Paul, MN",Wholesalers: Health Care
Southwestern Energy,"Spring, TX","Mining, Crude-Oil Production"
Ametek,"Berwyn, PA","Scientific,Photographic and Control Equipment"
T. Rowe Price,"Baltimore, MD",Securities
Torchmark,"McKinney, TX","Insurance: Life, Health (stock)"
Darling Ingredients,"Irving, TX",Food Production
Leggett & Platt,"Carthage, MO","Home Equipment, Furnishings"
Watsco,"Miami, FL",Wholesalers: Diversified
Crestwood Equity Partners,"Houston, TX",Energy
Xylem,"Rye Brook, NY",Industrial Machinery
Silgan Holdings,"Stamford, CT","Packaging, Containers"
Toll Brothers,"Horsham, PA",Homebuilders
Manitowoc,"Manitowoc, WI",Construction and Farm Machinery
Science Applications International,"McLean, VA",Information Technology Services
Carlyle Group,"Washington, DC",Securities
Timken,"North Canton, OH",Industrial Machinery
Genesis Energy,"Houston, TX",Pipelines
WPX Energy,"Tulsa, OK","Mining, Crude-Oil Production"
CareFusion,"San Diego, CA",Medical Products and Equipment
Pitney Bowes,"Stamford, CT","Computers, Office Equipment"
Ingles Markets,"Black Mountain, NC",Food and Drug Stores
PolyOne,"Avon Lake, OH",Chemicals
Brookdale Senior Living,"Brentwood, TN",Health Care: Medical Facilities
CommScope Holding,"Hickory, NC",Network and Other Communications Equipment
Meritor,"Troy, MI",Motor Vehicles and Parts
Joy Global,"Milwaukee, WI",Construction and Farm Machinery
Unified Grocers,"Commerce, CA",Wholesalers: Food and Grocery
Triumph Group,"Berwyn, PA",Aerospace and Defense
Magellan Health,"Scottsdale, AZ",Health Care: Insurance and Managed Care
Sally Beauty Holdings,"Denton, TX",Specialty Retailers: Other
Flowers Foods,"Thomasville, GA",Food Consumer Products
Abercrombie & Fitch,"New Albany, OH",Specialty Retailers: Apparel
New Jersey Resources,"Wall, NJ",Energy
Fastenal,"Winona, MN",Specialty Retailers: Other
NII Holdings,"Reston, VA",Telecommunications
Consol Energy,"Canonsburg, PA","Mining, Crude-Oil Production"
USG,"Chicago, IL","Building Materials, Glass"
Brink's,"Richmond, VA",Diversified Outsourcing Services
Helmerich & Payne,"Tulsa, OK","Oil and Gas Equipment, Services"
Lexmark International,"Lexington, KY",Computer Peripherals
American Axle & Manufacturing,"Detroit, MI",Motor Vehicles and Parts
Crown Castle International,"Houston, TX",Telecommunications
Targa Energy,"Houston, TX",Pipelines
Oceaneering International,"Houston, TX","Oil and Gas Equipment, Services"
Cabot,"Boston, MA",Chemicals
CIT Group,"New York, NY",Commercial Banks
Cabela's,"Sidney, NE",Specialty Retailers: Other
Forest Laboratories,"New York, NY",Pharmaceuticals
DCP Midstream Partners,"Denver, CO",Pipelines
Ryerson Holding,"Chicago, IL",Metals
QEP Resources,"Denver, CO","Mining, Crude-Oil Production"
Thor Industries,"Elkhart, IN",Motor Vehicles and Parts
HSN,"St. Petersburg, FL",Specialty Retailers: Other
Graham Holdings,"Arlington, VA",Education
Electronic Arts,"Redwood City, CA",Computer Software
Boise Cascade,"Boise, ID",Wholesalers: Diversified
Hub Group,"Oak Brook, IL",Transportation and Logistics
CACI International,"Arlington, VA",Information Technology Services
Roper Technologies,"Sarasota, FL","Scientific,Photographic and Control Equipment"
Towers Watson,"Arlington, VA",Diversified Outsourcing Services
Smart & Final Stores,"Commerce, CA",Food and Drug Stores
Big Heart Pet Brands,"San Francisco, CA",Food Consumer Products
Fossil Group,"Richardson, TX",Apparel
Nasdaq OMX Group,"New York, NY",Securities
Country Financial,"Bloomington, IL",Insurance: Property and Casualty (Mutual)
Snap-on,"Kenosha, WI",Industrial Machinery
Pinnacle West Capital,"Phoenix, AZ",Utilities: Gas and Electric
EchoStar,"Englewood, CO",Network and Other Communications Equipment
Systemax,"Port Washington, NY",Specialty Retailers: Other
WhiteWave Foods,"Denver, CO",Food Consumer Products
CUNA Mutual Group,"Madison, WI","Insurance: Life, Health (stock)"
Cooper Tire & Rubber,"Findlay, OH",Motor Vehicles and Parts
ADT,"Boca Raton, FL",Diversified Outsourcing Services
Cerner,"North Kansas City, MO",Health Care: Pharmacy and Other Services
Clean Harbors,"Norwell, MA",Waste Management
First Solar,"Tempe, AZ",Energy
Lennox International,"Richardson, TX",Industrial Machinery
Enable Midstream Partners,"Oklahoma City, OK",Pipelines
Hubbell,"Shelton, CT","Electronics, Electrical Equip."
Unisys,"Blue Bell, PA",Information Technology Services
Alliant Energy,"Madison, WI",Utilities: Gas and Electric
Health Care REIT,"Toledo, OH",Real estate
Moody's,"New York, NY",Diversified Financials
C.R. Bard,"Murray Hill, NJ",Medical Products and Equipment
Urban Outfitters,"Philadelphia, PA",Specialty Retailers: Apparel
Church & Dwight,"Ewing, NJ",Household and Personal Products
American Eagle Outfitters,"Pittsburgh, PA",Specialty Retailers: Apparel
Oaktree Capital Group,"Los Angeles, CA",Securities
Regal Beloit,"Beloit, WI","Electronics, Electrical Equip."
Men's Wearhouse,"Houston, TX",Specialty Retailers: Apparel
Cooper-Standard Holdings,"Novi, MI",Motor Vehicles and Parts
W.R. Grace,"Columbia, MD",Chemicals
Ulta Salon Cosmetics & Fragrance,"Bolingbrook, IL",Specialty Retailers: Other
Hawaiian Electric Industries,"Honolulu, HI",Utilities: Gas and Electric
SkyWest,"St. George, UT",Airlines
Green Plains,"Omaha, NE",Energy
LVB Acquisition,"Warsaw, IN",Medical Products and Equipment
NBTY,"Ronkonkoma, NY",Pharmaceuticals
Carlisle,"Charlotte, NC","Building Materials, Glass"
United Refining,"Warren, PA",Petroleum Refining
Tesla Motors,"Palo Alto, CA",Motor Vehicles and Parts
Groupon,"Chicago, IL",Internet Services and Retailing
Landstar System,"Jacksonville, FL","Trucking, Truck Leasing"
Patterson-UTI Energy,"Houston, TX","Oil and Gas Equipment, Services"
EP Energy,"Houston, TX","Mining, Crude-Oil Production"
ON Semiconductor,"Phoenix, AZ",Semiconductors and Other Electronic Components
Rent-A-Center,"Plano, TX",Specialty Retailers: Other
SunGard Data Systems,"Wayne, PA",Financial Data Services
Citrix Systems,"Fort Lauderdale, FL",Network and Other Communications Equipment
Amkor Technology,"Tempe, AZ",Semiconductors and Other Electronic Components
TD Ameritrade Holding,"Omaha, NE",Securities
Worthington Industries,"Columbus, OH",Metals
Valmont Industries,"Omaha, NE",Construction and Farm Machinery
Iron Mountain,"Boston, MA",Diversified Outsourcing Services
Puget Energy,"Bellevue, WA",Utilities: Gas and Electric
CME Group,"Chicago, IL",Securities
IAC/InterActiveCorp,"New York, NY",Internet Services and Retailing
Par Petroleum,"Houston, TX",Petroleum Refining
Taylor Morrison Home,"Scottsdale, AZ",Homebuilders
Chiquita Brands International,"Charlotte, NC",Food Production
International Flavors & Fragrances,"New York, NY",Chemicals
Whiting Petroleum,"Denver, CO","Mining, Crude-Oil Production"
Under Armour,"Baltimore, MD",Apparel
Ventas,"Chicago, IL",Real estate
NuStar Energy,"San Antonio, TX",Pipelines
Select Medical Holdings,"Mechanicsburg, PA",Health Care: Medical Facilities
Diebold,"North Canton, OH","Computers, Office Equipment"
American National Insurance,"Galveston, TX","Insurance: Life, Health (stock)"
Varian Medical Systems,"Palo Alto, CA",Medical Products and Equipment
Apollo Education Group,"Phoenix, AZ",Education
Westinghouse Air Brake Technologies,"Wilmerding, PA",Industrial Machinery
SunPower,"San Jose, CA",Energy
Warner Music Group,"New York, NY",Entertainment
American Water Works,"Voorhees, NJ",zMiscellaneous
H&R Block,"Kansas City, MO",Diversified Financials
Mercury General,"Los Angeles, CA",Insurance: Property and Casualty (Stock)
TECO Energy,"Tampa, FL",Utilities: Gas and Electric
Service Corp. International,"Houston, TX",zMiscellaneous
Vulcan Materials,"Birmingham, AL","Building Materials, Glass"
Brown-Forman,"Louisville, KY",Beverages
Regal Entertainment Group,"Knoxville, TN",Entertainment
Tempur Sealy International,"Lexington, KY","Home Equipment, Furnishings"
Steelcase,"Grand Rapids, MI","Home Equipment, Furnishings"
MWI Veterinary Supply,"Boise, ID",Wholesalers: Diversified
RadioShack,"Fort Worth, TX",Specialty Retailers: Other
Sprouts Farmers Market,"Phoenix, AZ",Food and Drug Stores
Sabre,"Southlake, TX",Internet Services and Retailing
Martin Marietta Materials,"Raleigh, NC","Building Materials, Glass"
Huntington Bancshares,"Columbus, OH",Commercial Banks
Alere,"Waltham, MA",Medical Products and Equipment
TreeHouse Foods,"Oak Brook, IL",Food Consumer Products
Arch Coal,"St. Louis, MO","Mining, Crude-Oil Production"
KLA-Tencor,"Milpitas, CA",Semiconductors and Other Electronic Components
Crane,"Stamford, CT",Industrial Machinery
Iasis Healthcare,"Franklin, TN",Health Care: Medical Facilities
Babcock & Wilcox,"Charlotte, NC",Industrial Machinery
Dentsply International,"York, PA",Medical Products and Equipment
Tribune Media,"Chicago, IL",Entertainment
ScanSource,"Greenville, SC",Wholesalers: Electronics and Office Equipment
Univision Communications,"New York, NY",Entertainment
Brinker International,"Dallas, TX",Food Services
Exterran Holdings,"Houston, TX","Oil and Gas Equipment, Services"
Carter's,"Atlanta, GA",Apparel
Analog Devices,"Norwood, MA",Semiconductors and Other Electronic Components
Genesco,"Nashville, TN",Specialty Retailers: Apparel
Scotts Miracle-Gro,"Marysville, OH",Chemicals
Convergys,"Cincinnati, OH",Diversified Outsourcing Services
Exide Technologies,"Milton, GA",Motor Vehicles and Parts
WABCO Holdings,"Rochester Hills, MI",Motor Vehicles and Parts
Kennametal,"Latrobe, PA",Industrial Machinery
Amerco,"Reno, NV","Trucking, Truck Leasing"
Bon-Ton Stores,"York, PA",General Merchandisers
Team Health Holdings,"Knoxville, TN",Health Care: Pharmacy and Other Services
Regeneron Pharmaceuticals,"Tarrytown, NY",Pharmaceuticals
Springleaf Holdings,"Evansville, IN",Diversified Financials
Lincoln Electric Holdings,"Cleveland, OH",Industrial Machinery
Dresser-Rand Group,"Houston, TX",Industrial Machinery
West,"Omaha, NE",Diversified Outsourcing Services
Benchmark Electronics,"Angleton, TX",Semiconductors and Other Electronic Components
Pall,"Port Washington, NY",Industrial Machinery
Old Dominion Freight Line,"Thomasville, NC","Trucking, Truck Leasing"
MSC Industrial Direct,"Melville, NY",Wholesalers: Diversified
Sentry Insurance Group,"Stevens Point, WI",Insurance: Property and Casualty (Mutual)
Sigma-Aldrich,"St. Louis, MO",Chemicals
WGL Holdings,"Washington, DC",Energy
Weis Markets,"Sunbury, PA",Food and Drug Stores
Sanderson Farms,"Laurel, MS",Food Production
StanCorp Financial Group,"Portland, OR","Insurance: Life, Health (stock)"
Hyster-Yale Materials Handling,"Cleveland, OH",Industrial Machinery
Wolverine World Wide,"Rockford, MI",Apparel
DST Systems,"Kansas City, MO",Financial Data Services
Legg Mason,"Baltimore, MD",Securities
Teradata,"Dayton, OH",Computer Software
Aaron's,"Atlanta, GA",Specialty Retailers: Other
Antero Resources,"Denver, CO","Mining, Crude-Oil Production"
Metaldyne Performance Group,"Plymouth, MI",Motor Vehicles and Parts
Range Resources,"Fort Worth, TX","Mining, Crude-Oil Production"
Vornado Realty Trust,"New York, NY",Real estate
Boyd Gaming,"Las Vegas, NV","Hotels, Casinos, Resorts"
Covance,"Princeton, NJ",Health Care: Pharmacy and Other Services
Armstrong World Industries,"Lancaster, PA","Building Materials, Glass"
Cracker Barrel Old Country Store,"Lebanon, TN",Food Services
Chico's FAS,"Fort Myers, FL",Specialty Retailers: Apparel
Scripps Networks Interactive,"Knoxville, TN",Entertainment
Universal Forest Products,"Grand Rapids, MI",Forest and Paper Products
Concho Resources,"Midland, TX","Mining, Crude-Oil Production"
ITT,"White Plains, NY",Industrial Machinery
HCC Insurance Holdings,"Houston, TX",Insurance: Property and Casualty (Stock)
Moog,"East Aurora, NY",Aerospace and Defense
IMS Health Holdings,"Danbury, CT",Health Care: Pharmacy and Other Services
Cinemark Holdings,"Plano, TX",Entertainment
Comerica,"Dallas, TX",Commercial Banks
Equity Residential,"Chicago, IL",Real estate
Ryland Group,"Westlake Village, CA",Homebuilders
GNC Holdings,"Pittsburgh, PA",Food and Drug Stores
ArcBest,"Fort Smith, AR","Trucking, Truck Leasing"
Vectren,"Evansville, IN",Utilities: Gas and Electric
Curtiss-Wright,"Charlotte, NC",Aerospace and Defense
Tupperware Brands,"Orlando, FL",Household and Personal Products
Westar Energy,"Topeka, KS",Utilities: Gas and Electric
Albemarle,"Baton Rouge, LA",Chemicals
AptarGroup,"Crystal Lake, IL","Packaging, Containers"
Pinnacle Foods,"Parsippany, NJ",Food Consumer Products
Penn National Gaming,"Wyomissing, PA","Hotels, Casinos, Resorts"
J.Crew Group,"New York, NY",Specialty Retailers: Apparel
Vantiv,"Symmes Township, OH",Financial Data Services
Kansas City Southern,"Kansas City, MO",Railroads
Caleres,"St. Louis, MO",Specialty Retailers: Apparel
Nu Skin Enterprises,"Provo, UT",Household and Personal Products
Great Plains Energy,"Kansas City, MO",Utilities: Gas and Electric
Kirby,"Houston, TX",zMiscellaneous
General Growth Properties,"Chicago, IL",Real estate
Broadridge Financial Solutions,"Lake Success, NY",Financial Data Services
Stericycle,"Lake Forest, IL",Waste Management
Global Payments,"Atlanta, GA",Financial Data Services
Nortek,"Providence, RI",Industrial Machinery
Schnitzer Steel Industries,"Portland, OR",Metals
Universal,"Richmond, VA",Tobacco
ANN,"New York, NY",Specialty Retailers: Apparel
Hologic,"Bedford, MA",Medical Products and Equipment
Panera Bread,"St. Louis, MO",Food Services
AOL,"New York, NY",Internet Services and Retailing
SM Energy,"Denver, CO","Mining, Crude-Oil Production"
Paychex,"Rochester, NY",Diversified Outsourcing Services
PriceSmart,"San Diego, CA",Specialty Retailers: Other
Autodesk,"San Rafael, CA",Computer Software
Affiliated Managers Group,"Prides Crossing, MA",Securities
Tops Holding,"Williamsville, NY",Food and Drug Stores
Dynegy,"Houston, TX",Energy
DSW,"Columbus, OH",Specialty Retailers: Apparel
Vishay Intertechnology,"Malvern, PA",Semiconductors and Other Electronic Components
Mettler-Toledo International,"Columbus, OH","Scientific,Photographic and Control Equipment"
SunEdison,"Maryland Heights, MO",Semiconductors and Other Electronic Components
Tetra Tech,"Pasadena, CA","Engineering, Construction"
Momentive Performance Materials,"Waterford, NY",Chemicals
EnerSys,"Reading, PA","Electronics, Electrical Equip."
Donaldson,"Minneapolis, MN",Industrial Machinery
EQT,"Pittsburgh, PA",Energy
Monster Beverage,"Corona, CA",Beverages
PC Connection,"Merrimack, NH",Specialty Retailers: Other
Total System Services,"Columbus, GA",Financial Data Services
ServiceMaster Global Holdings,"Memphis, TN",Diversified Outsourcing Services
Medical Mutual of Ohio,"Cleveland, OH","Insurance: Life, Health (Mutual)"
Applied Industrial Technologies,"Cleveland, OH",Wholesalers: Diversified
Maxim Integrated Products,"San Jose, CA",Semiconductors and Other Electronic Components
OGE Energy,"Oklahoma City, OK",Utilities: Gas and Electric
A. Schulman,"Fairlawn, OH",Chemicals
Equinix,"Redwood City, CA",Telecommunications
Mednax,"Sunrise, FL",Health Care: Pharmacy and Other Services
Equifax,"Atlanta, GA",Financial Data Services
Standard Pacific,"Irvine, CA",Homebuilders
Denbury Resources,"Plano, TX","Mining, Crude-Oil Production"
Cimarex Energy,"Denver, CO","Mining, Crude-Oil Production"
Mutual of America Life Insurance,"New York, NY","Insurance: Life, Health (Mutual)"
Guess,"Los Angeles, CA",Apparel
Post Holdings,"St. Louis, MO",Food Consumer Products
HealthSouth,"Birmingham, AL",Health Care: Medical Facilities
Ferrellgas Partners,"Overland Park, KS",Energy
KB Home,"Los Angeles, CA",Homebuilders
Boston Properties,"Boston, MA",Real estate
Trimble Navigation,"Sunnyvale, CA","Scientific,Photographic and Control Equipment"
Teledyne Technologies,"Thousand Oaks, CA","Scientific,Photographic and Control Equipment"
Acuity Brands,"Atlanta, GA","Electronics, Electrical Equip."
Skechers U.S.A.,"Manhattan Beach, CA",Apparel
Xilinx,"San Jose, CA",Semiconductors and Other Electronic Components
Plexus,"Neenah, WI",Semiconductors and Other Electronic Components
Newfield Exploration,"The Woodlands, TX","Mining, Crude-Oil Production"
TransDigm Group,"Cleveland, OH",Aerospace and Defense
Kar Auction Services,"Carmel, IN",Wholesalers: Diversified
Mueller Industries,"Memphis, TN",Industrial Machinery
Zions Bancorp.,"Salt Lake City, UT",Commercial Banks
Insperity,"Kingwood, TX",Diversified Outsourcing Services
XPO Logistics,"Greenwich, CT",Transportation and Logistics
Sears Hometown & Outlet Stores,"Hoffman Estates, IL",Specialty Retailers: Other
A.O. Smith,"Milwaukee, WI","Electronics, Electrical Equip."
Alliance One International,"Morrisville, NC",Tobacco
Take-Two Interactive Software,"New York, NY",Computer Software
hhgregg,"Indianapolis, IN",Specialty Retailers: Other
RPC,"Atlanta, GA","Oil and Gas Equipment, Services"
NewMarket,"Richmond, VA",Chemicals
Beacon Roofing Supply,"Herndon, VA",Wholesalers: Diversified
Edwards Lifesciences,"Irvine, CA",Medical Products and Equipment
Triple-S Management,"San Juan, PR",Health Care: Insurance and Managed Care
Hawaiian Holdings,"Honolulu, HI",Airlines
Heartland Payment Systems,"Princeton, NJ",Financial Data Services
Belden,"St. Louis, MO","Electronics, Electrical Equip."
Magellan Midstream Partners,"Tulsa, OK",Pipelines
Outerwall,"Bellevue, WA",Specialty Retailers: Other
KapStone Paper & Packaging,"Northbrook, IL","Packaging, Containers"
Alliance Holdings,"Tulsa, OK","Mining, Crude-Oil Production"
Skyworks Solutions,"Woburn, MA",Semiconductors and Other Electronic Components
Ciena,"Hanover, MD",Network and Other Communications Equipment
Granite Construction,"Watsonville, CA","Engineering, Construction"
Education Management,"Pittsburgh, PA",Education
Party City Holdings,"Elmsford, NY",Specialty Retailers: Other
HCP,"Irvine, CA",Real estate
Parexel International,"Waltham, MA",Health Care: Pharmacy and Other Services
Delta Tucker Holdings,"McLean, VA",Aerospace and Defense
Pinnacle Entertainment,"Las Vegas, NV","Hotels, Casinos, Resorts"
Stifel Financial,"St. Louis, MO",Securities
Pool,"Covington, LA",Wholesalers: Diversified
Olin,"Clayton, MO",Chemicals
Knights of Columbus,"New Haven, CT","Insurance: Life, Health (Mutual)"
PerkinElmer,"Waltham, MA","Scientific,Photographic and Control Equipment"
Alexion Pharmaceuticals,"Cheshire, CT",Pharmaceuticals
IHS,"Englewood, CO",Financial Data Services
Oil States International,"Houston, TX","Oil and Gas Equipment, Services"
HNI,"Muscatine, IA","Home Equipment, Furnishings"
LinkedIn,"Mountain View, CA",Internet Services and Retailing
Diplomat Pharmacy,"Flint, MI",Food and Drug Stores
Brocade Communications Systems,"San Jose, CA",Network and Other Communications Equipment
Greenbrier Cos.,"Lake Oswego, OR",Transportation Equipment
AMC Networks,"New York, NY",Entertainment
Kemper,"Chicago, IL",Insurance: Property and Casualty (Stock)
Ocwen Financial,"Atlanta, GA",Diversified Financials
Public Storage,"Glendale, CA",zMiscellaneous
TriNet Group,"San Leandro, CA",Diversified Outsourcing Services
Chemtura,"Philadelphia, PA",Chemicals
Symetra Financial,"Bellevue, WA","Insurance: Life, Health (stock)"
Tower International,"Livonia, MI",Motor Vehicles and Parts
Meritage Homes,"Scottsdale, AZ",Homebuilders
MarkWest Energy Partners,"Denver, CO",Pipelines
Bio-Rad Laboratories,"Hercules, CA",Medical Products and Equipment
TrueBlue,"Tacoma, WA",Temporary Help
Cabot Oil & Gas,"Houston, TX","Mining, Crude-Oil Production"
Carpenter Technology,"Wyomissing, PA",Metals
Toro,"Bloomington, MN",Construction and Farm Machinery
American Equity Investment Life Holding,"West Des Moines, IA","Insurance: Life, Health (stock)"
Eastman Kodak,"Rochester, NY","Scientific,Photographic and Control Equipment"
Hain Celestial Group,"Lake Success, NY",Food Consumer Products
Nationstar Mortgage Holdings,"Coppell, TX",Diversified Financials
IDEX,"Lake Forest, IL",Industrial Machinery
Popular,"Hato Rey, PR",Commercial Banks
Werner Enterprises,"Omaha, NE","Trucking, Truck Leasing"
Esterline Technologies,"Bellevue, WA",Aerospace and Defense
Intuitive Surgical,"Sunnyvale, CA",Medical Products and Equipment
Allison Transmission Holdings,"Indianaoplis, IN",Motor Vehicles and Parts
SemGroup,"Tulsa, OK",Pipelines
Southwest Gas,"Las Vegas, NV",Utilities: Gas and Electric
G-III Apparel Group,"New York, NY",Apparel
National Fuel Gas,"Williamsville, NY",Utilities: Gas and Electric
H.B. Fuller,"St. Paul, MN",Chemicals
Penn Mutual Life Insurance,"Horsham, PA","Insurance: Life, Health (stock)"
RCS Capital,"New York, NY",Securities
Columbia Sportswear,"Portland, OR",Apparel
Amica Mutual Insurance,"Lincoln, RI",Insurance: Property and Casualty (Mutual)
Primoris Services,"Dallas, TX","Engineering, Construction"
Energen,"Birmingham, AL","Mining, Crude-Oil Production"
Rexnord,"Milwaukee, WI",Industrial Machinery
Seventy Seven Energy,"Oklahoma City, OK","Oil and Gas Equipment, Services"
Waste Connections,"The Woodlands, TX",Waste Management
"Pep Boys-Manny, Moe & Jack","Philadelphia, PA",Specialty Retailers: Other
Harsco,"Camp Hill, PA",Metals
Hovnanian Enterprises,"Red Bank, NJ",Homebuilders
Willbros Group,"Houston, TX","Oil and Gas Equipment, Services"
Wendy's,"Dublin, OH",Food Services
International Game Technology,"Las Vegas, NV",Industrial Machinery
Synopsys,"Mountain View, CA",Computer Software
Universal American,"White Plains, NY",Health Care: Insurance and Managed Care
