company,location,industry
Gilead Sciences,"Foster City, CA",Pharmaceuticals
Baker Hughes,"Houston, TX","Oil and Gas Equipment, Services"
Emerson Electric,"St. Louis, MO","Electronics, Electrical Equip."
EMC,"Hopkinton, MA",Computer Peripherals
USAA,"San Antonio, TX",Insurance: Property and Casualty (Stock)
Union Pacific,"Omaha, NE",Railroads
Northrop Grumman,"Falls Church, VA",Aerospace and Defense
Alcoa,"New York, NY",Metals
Capital One Financial,"McLean, VA",Commercial Banks
National Oilwell Varco,"Houston, TX","Oil and Gas Equipment, Services"
US Foods,"Rosemont, IL",Wholesalers: Food and Grocery
Raytheon,"Waltham, MA",Aerospace and Defense
Time Warner Cable,"New York, NY",Telecommunications
Arrow Electronics,"Centennial, CO",Wholesalers: Electronics and Office Equipment
Aflac,"Columbus, GA","Insurance: Life, Health (stock)"
Staples,"Framingham, MA",Specialty Retailers: Other
Abbott Laboratories,"Abbott Park, IL",Medical Products and Equipment
Community Health Systems,"Franklin, TN",Health Care: Medical Facilities
Fluor,"Irving, TX","Engineering, Construction"
Freeport-McMoRan,"Phoenix, AZ","Mining, Crude-Oil Production"
U.S. Bancorp,"Minneapolis, MN",Commercial Banks
Nucor,"Charlotte, NC",Metals
Kimberly-Clark,"Irving, TX",Household and Personal Products
Hess,"New York, NY",Petroleum Refining
Chesapeake Energy,"Oklahoma City, OK","Mining, Crude-Oil Production"
Xerox,"Norwalk, CT",Information Technology Services
ManpowerGroup,"Milwaukee, WI",Temporary Help
Amgen,"Thousand Oaks, CA",Pharmaceuticals
AbbVie,"North Chicago, IL",Pharmaceuticals
Danaher,"Washington, DC","Scientific,Photographic and Control Equipment"
Whirlpool,"Benton Harbor, MI","Electronics, Electrical Equip."
PBF Energy,"Parsippany, NJ",Petroleum Refining
HollyFrontier,"Dallas, TX",Petroleum Refining
Eli Lilly,"Indianapolis, IN",Pharmaceuticals
Devon Energy,"Oklahoma City, OK","Mining, Crude-Oil Production"
Progressive,"Mayfield Village, OH",Insurance: Property and Casualty (Stock)
Cummins,"Columbus, IN",Construction and Farm Machinery
Icahn Enterprises,"New York, NY",Petroleum Refining
AutoNation,"Fort Lauderdale, FL","Automotive Retailing, Services"
Kohl's,"Menomonee Falls, WI",General Merchandisers
Paccar,"Bellevue, WA",Motor Vehicles and Parts
Dollar General,"Goodlettsville, TN",General Merchandisers
Hartford Financial Services Group,"Hartford, CT",Insurance: Property and Casualty (Stock)
Southwest Airlines,"Dallas, TX",Airlines
Anadarko Petroleum,"The Woodlands, TX","Mining, Crude-Oil Production"
Southern,"Atlanta, GA",Utilities: Gas and Electric
Supervalu,"Eden Prairie, MN",Food and Drug Stores
Kraft Foods Group,"Northfield, IL",Food Consumer Products
Goodyear Tire & Rubber,"Akron, OH",Motor Vehicles and Parts
EOG Resources,"Houston, TX","Mining, Crude-Oil Production"
CenturyLink,"Monroe, LA",Telecommunications
Altria Group,"Richmond, VA",Tobacco
Tenet Healthcare,"Dallas, TX",Health Care: Medical Facilities
General Mills,"Minneapolis, MN",Food Consumer Products
eBay,"San Jose, CA",Internet Services and Retailing
ConAgra Foods,"Omaha, NE",Food Consumer Products
Lear,"Southfield, MI",Motor Vehicles and Parts
